FrameId CupId Xmin Xmax Ymin Ymax 
1 1 830 1112 474 755 
1 2 1194 1479 433 700 
2 1 830 1112 474 755 
2 2 1194 1479 433 700 
3 1 830 1112 474 755 
3 2 1194 1479 433 700 
4 1 830 1112 474 755 
4 2 1192 1482 421 694 
5 1 830 1112 474 755 
5 2 1192 1482 421 694 
6 1 830 1112 474 755 
6 2 1192 1482 421 694 
7 1 830 1112 474 755 
7 2 1192 1482 421 694 
8 1 830 1112 474 755 
8 2 1192 1482 421 694 
9 1 830 1112 474 755 
9 2 1185 1489 425 705 
10 1 830 1112 474 755 
10 2 1199 1494 438 698 
11 1 830 1112 474 755 
11 2 1199 1494 438 698 
12 1 830 1112 474 755 
12 2 1189 1480 455 723 
13 1 830 1112 474 755 
13 2 1189 1480 455 723 
14 1 811 1110 491 770 
14 2 1189 1480 455 723 
15 1 811 1110 491 770 
15 2 1189 1480 455 723 
16 1 811 1110 491 770 
16 2 1189 1480 455 723 
17 1 818 1110 497 762 
17 2 1169 1472 449 727 
18 1 818 1110 497 762 
18 2 1169 1472 449 727 
19 1 815 1109 514 777 
19 2 1169 1472 449 727 
20 1 815 1109 514 777 
20 2 1174 1450 464 719 
21 1 815 1109 514 777 
21 2 1174 1450 464 719 
22 1 815 1109 514 777 
22 2 1174 1450 464 719 
23 1 801 1088 524 777 
23 2 1168 1449 476 737 
24 1 801 1088 524 777 
24 2 1168 1449 476 737 
25 1 801 1088 524 777 
25 2 1137 1427 474 757 
26 1 808 1067 509 785 
26 2 1138 1429 462 760 
27 1 795 1041 511 777 
27 2 1138 1429 462 760 
28 1 795 1041 511 777 
28 2 1158 1428 463 745 
29 1 795 1041 511 777 
29 2 1156 1422 438 717 
30 1 834 1063 451 692 
30 2 1156 1422 438 717 
31 1 834 1063 451 692 
31 2 1145 1392 431 716 
32 1 834 1063 451 692 
32 2 1145 1392 431 716 
33 1 833 1040 443 688 
33 2 1145 1392 431 716 
34 1 833 1040 443 688 
34 2 1145 1392 431 716 
35 1 810 1026 448 709 
35 2 1116 1388 435 725 
36 1 810 1026 448 709 
36 2 1116 1388 435 725 
37 1 810 1026 448 709 
37 2 1116 1388 435 725 
38 1 810 1026 448 709 
38 2 1135 1394 423 739 
39 1 810 1026 448 709 
39 2 1112 1394 423 752 
40 1 810 1026 448 709 
40 2 1112 1394 423 752 
41 1 753 978 444 699 
41 2 1101 1379 410 745 
42 1 782 986 452 729 
42 2 1101 1379 410 745 
43 1 782 986 452 729 
43 2 1101 1379 410 745 
44 1 761 993 448 705 
44 2 1101 1379 410 745 
45 1 761 993 448 705 
45 2 1101 1379 410 745 
46 1 761 993 448 705 
46 2 1101 1379 410 745 
47 1 761 993 448 705 
